hand1,hand2,table1,table2,table3,table4,table5,numPlayers,position,playerChips,action,rank
Th,Kc,Kd,Ac,Qc,Qd,2d,3,3,714,k,744587
8h,Ac,9d,Qd,9h,3s,Ts,3,1,834,k,388838
6h,7s,9d,Qd,9h,3s,Ts,3,2,1014,k,388471
2s,Ad,9h,Tc,9d,2d,8h,3,2,869,k,743781
4d,3d,9h,Tc,9d,2d,8h,3,3,230,k,388104
5c,2c,6s,3d,4s,4c,6c,3,1,4,k,1485176
Ts,8s,6s,3d,4s,4c,6c,3,3,15,k,743296
2d,3s,Ad,6s,Jd,Th,Kd,3,2,259,k,368528
5c,6c,Ad,6s,Jd,Th,Kd,3,3,711,k,382261
2d,7d,Ac,6s,4h,5h,Jh,3,1,833,k,363405
Ad,Qh,Ac,6s,4h,5h,Jh,3,2,979,k,399468
Qc,9d,Ts,3d,Jc,Th,Kh,5,1,30,k,1485183
6d,Td,Ts,3d,Jc,Th,Kh,5,2,3,b,1115383
Qc,9d,Ts,3d,Jc,Th,Kh,5,1,30,r,1485183
6d,Td,Ts,3d,Jc,Th,Kh,5,2,3,c,1115383
2s,Kh,5c,Jc,8s,4h,Kd,6,1,54,k,397062
Ac,4d,5c,Jc,8s,4h,Kd,6,2,96,k,377867
9s,Qs,5c,Jc,8s,4h,Kd,6,4,85,k,337759
Kh,Ts,Td,Jh,9h,7d,As,5,1,16,k,391049
7s,7h,Td,Jh,9h,7d,As,5,3,10,k,1114889
4s,2h,2s,3d,Ad,5s,7h,6,2,3,b,1485175
2c,4c,2s,3d,Ad,5s,7h,6,5,1,c,1485175
2c,7c,6c,8c,Ad,Qh,3c,6,1,20,b,2039505
Ts,Qc,6c,8c,Ad,Qh,3c,6,5,17,c,395401
6s,3s,4h,7s,9h,As,Qs,7,2,69,b,2222065
Qh,Kd,4h,7s,9h,As,Qs,7,5,27,c,395441
6h,Qd,2s,Qc,7s,Js,Qh,7,1,26,b,1115691
Jh,2h,2s,Qc,7s,Js,Qh,7,2,5,c,744398
4h,6h,Kh,2c,9h,6d,Qd,4,1,28,k,382077
9s,Jh,Kh,2c,9h,6d,Qd,4,3,24,k,388670
8h,7d,8c,5c,6d,3s,5h,5,4,18,k,743644
9c,Qc,8c,5c,6d,3s,5h,5,5,4,k,379671
Th,Ac,5c,8d,Ad,Kc,7h,5,1,11,k,399626
Kd,Td,5c,8d,Ad,Kc,7h,5,5,34,k,397598
9s,9h,Kc,6h,6c,3d,8h,2,1,63,b,743832
6s,Ac,Kc,6h,6c,3d,8h,2,2,20,r,1114722
9s,9h,Kc,6h,6c,3d,8h,2,1,63,c,743832
2c,4c,Ks,3h,Kh,Ah,3c,3,1,1159,k,744470
Qh,5c,Ks,3h,Kh,Ah,3c,3,2,152,k,744470
8d,6s,4s,6c,Kh,2s,Qs,3,1,158,k,382076
7d,2d,4s,6c,Kh,2s,Qs,3,2,167,k,373287
Qd,5d,2d,2c,7s,Jd,Ad,3,1,372,k,2222727
8c,Kh,2d,2c,7s,Jd,Ad,3,2,387,k,373473
8h,4h,2c,3c,Qd,4d,Jh,3,2,986,k,377500
Kd,8c,2c,3c,Qd,4d,Jh,3,3,319,k,337742
3d,Kc,Kh,8h,Ts,Td,2h,3,2,39,k,744555
Js,Qc,Kh,8h,Ts,Td,2h,3,3,41,k,390867
Kc,Th,2s,Ts,3d,Td,9c,3,1,14,b,1115381
Ad,As,2s,Ts,3d,Td,9c,3,3,4,r,744725
Kc,Th,2s,Ts,3d,Td,9c,3,1,14,r,1115381
Ad,As,2s,Ts,3d,Td,9c,3,3,4,c,744725
9d,Ts,3h,3c,Ah,Ac,6d,3,1,381,k,744635
5h,2c,3h,3c,Ah,Ac,6d,3,2,336,k,744631
8h,Qh,Ad,5s,4s,Qc,2d,3,1,357,k,395372
7h,Qs,Ad,5s,4s,Qc,2d,3,2,115,k,395359
6h,Qh,Ah,Kh,5s,2s,4d,3,1,17,k,368644
8c,8s,Ah,Kh,5s,2s,4d,3,2,65,k,386649
9d,Qd,3c,5h,3s,Ac,5d,3,1,312,k,743118
4h,6d,3c,5h,3s,Ac,5d,3,2,1203,k,743118
7h,Kh,Qc,Tc,7s,Ad,6s,3,1,1203,k,384459
4h,Jc,Qc,Tc,7s,Ad,6s,3,2,897,k,366332
4s,5c,7d,7s,8d,Td,5s,3,1,897,k,743478
Tc,3s,7d,7s,8d,Td,5s,3,2,312,k,744009
8h,Js,3c,Kh,6d,5c,Qs,3,1,235,k,337744
Ad,2s,3c,Kh,6d,5c,Qs,3,2,902,k,368644
Tc,As,3c,Kh,6d,5c,Qs,3,3,672,k,368697
5s,5c,4h,9c,5h,Kh,As,4,1,0,b,1114553
2h,Ah,4h,9c,5h,Kh,As,4,3,0,r,2223897
5s,5c,4h,9c,5h,Kh,As,4,1,0,r,1114553
2h,Ah,4h,9c,5h,Kh,As,4,3,0,r,2223897
5s,5c,4h,9c,5h,Kh,As,4,1,0,c,1114553
5s,5c,4h,9c,5h,Kh,As,4,1,0,A,1114553
Jd,Kc,5h,7h,5s,8h,7s,3,1,234,k,743481
2c,Tc,5h,7h,5s,8h,7s,3,2,1199,k,743478
9s,Jc,5h,7h,5s,8h,7s,3,3,672,k,743479
3s,8d,Jh,4d,7s,4c,Ks,3,2,1370,k,377669
Qs,5s,Jh,4d,7s,4c,Ks,3,3,767,k,377685
7s,6h,Qh,4d,Jh,8s,Qs,3,1,901,k,394867
9s,7c,Qh,4d,Jh,8s,Qs,3,2,314,k,394881
2h,Qd,5c,2c,7h,Jd,7c,3,2,93,k,743441
5h,Ah,5c,2c,7h,Jd,7c,3,3,477,k,743482
5c,7d,Kh,9d,6c,As,Td,3,1,233,k,368347
8c,Jd,Kh,9d,6c,As,Td,3,2,1195,k,368531
6h,7h,Kh,9d,6c,As,Td,3,3,677,k,382260
7h,Kh,4d,As,Th,Jh,Qd,3,1,49,b,1485184
Qh,6h,4d,As,Th,Jh,Qd,3,2,251,c,395416
Kd,2d,Jh,2c,4s,8d,Jd,3,2,774,k,744118
Ad,6c,Jh,2c,4s,8d,Jd,3,3,272,k,393176
7h,7d,Kc,9c,Ad,6c,5h,3,1,902,k,384456
6d,Th,Kc,9c,Ad,6c,5h,3,2,238,k,382260
Ad,6s,8h,Jh,5s,Tc,As,3,1,902,k,399288
6d,9h,8h,Jh,5s,Tc,As,3,2,238,k,363954
8h,Th,Qh,Kd,9c,2s,5c,3,2,1358,k,337590
7d,6s,Qh,Kd,9c,2s,5c,3,3,774,k,337393
Tc,Qh,5s,4d,Ad,8h,7h,3,1,677,k,366137
8s,2c,5s,4d,Ad,8h,7h,3,2,176,k,386571
Th,Qc,5s,4d,Ad,8h,7h,3,3,1191,k,366137
9s,Ah,5s,3c,Ac,7h,7s,2,1,1,k,744686
Kc,7c,5s,3c,Ac,7h,7s,2,2,1,b,1114891
9s,Ah,5s,3c,Ac,7h,7s,2,1,1,c,744686
Jd,Ts,Jc,Kd,9d,Qd,9c,2,1,8,b,1485183
Qh,As,Jc,Kd,9d,Qd,9c,2,2,22,c,744379
Kh,9d,6s,Ks,5h,7h,Ad,2,1,25,k,397584
Td,Th,6s,Ks,5h,7h,Ad,2,2,62,k,391045
Kh,5d,3c,Qs,Js,6s,Th,2,1,392,k,337770
4c,Ac,3c,Qs,Js,6s,Th,2,2,163,k,366331
Qd,6d,Kd,5c,As,2h,2c,2,1,393,k,373474
8h,5h,Kd,5c,As,2h,2c,2,2,162,k,743105
Kh,Jc,8h,Qd,6d,8s,Qs,2,1,69,k,744365
Th,Jd,8h,Qd,6d,8s,Qs,2,2,168,k,744363
Qc,Th,Jc,Tc,3h,7h,4c,2,1,61,k,390681
Jh,9s,Jc,Tc,3h,7h,4c,2,2,25,k,392514
9h,Ac,2d,3c,2c,Th,3s,3,1,60,k,742767
Qs,Kh,2d,3c,2c,Th,3s,3,2,155,k,742766
Ts,Tc,Kd,Ad,3c,Th,4h,3,2,16,k,1115398
2s,Ac,Kd,Ad,3c,Th,4h,3,3,43,k,399622
4s,Kd,8s,5s,8d,9s,Ac,4,1,407,k,386653
Kh,7d,8s,5s,8d,9s,Ac,4,2,981,k,386653
Qd,Kh,6s,Qh,3c,Ad,4s,4,1,736,k,395438
8h,Th,6s,Qh,3c,Ad,4s,4,2,1196,k,366136
9d,Kc,6s,Qh,3c,Ad,4s,4,4,304,k,368684
Ts,Jd,Qs,Kh,As,7s,Kc,3,2,35,k,1485184
Jh,Td,Qs,Kh,As,7s,Kc,3,3,58,b,1485184
Ts,Jd,Qs,Kh,As,7s,Kc,3,2,35,c,1485184
Qc,Th,Tc,9c,8h,Ts,Td,5,2,52,k,2599165
Kd,6c,Tc,9c,8h,Ts,Td,5,5,270,k,1115381
As,7d,8c,6c,7c,Ts,8h,5,2,10,k,743677
4c,4d,8c,6c,7c,Ts,8h,5,3,52,k,743634
6s,6c,7c,5s,Qc,Kd,Jc,5,1,10,k,382079
Qh,Td,7c,5s,Qc,Kd,Jc,5,4,54,k,395247
Kd,6c,4d,Ah,Jh,8d,5d,5,2,673,k,368502
Qs,5s,4d,Ah,Jh,8d,5d,5,5,809,k,380051
6s,8d,2d,3s,Ts,6c,7s,4,1,404,k,381516
Jh,Ad,2d,3s,Ts,6c,7s,4,3,337,k,363926
4s,6c,4d,9h,Qd,2s,4c,6,1,9,b,1114354
As,Ts,4d,9h,Qd,2s,4c,6,2,62,c,377853
As,4s,Ac,3s,Ks,6s,5s,6,2,49,k,2224081
Kh,3h,Ac,3s,Ks,6s,5s,6,6,1,k,744470
Jd,7c,5h,Jc,5d,6h,3c,6,2,83,k,744151
Jh,9s,5h,Jc,5d,6h,3c,6,5,14,k,744153
8d,8h,6c,6s,5h,4d,2d,6,2,3,k,743655
3h,5s,6c,6s,5h,4d,2d,6,6,8,b,1485176
8d,8h,6c,6s,5h,4d,2d,6,2,3,c,743655
Qh,5s,Ac,Kc,Qc,6s,Tc,6,2,421,k,395442
9s,Ah,Ac,Kc,Qc,6s,Tc,6,3,222,k,399654
Qd,8h,Ac,Kc,Qc,6s,Tc,6,5,68,k,395442
4d,6h,Ac,Kc,Qc,6s,Tc,6,6,518,k,382262
Jd,Ks,9h,8c,2h,6c,7s,6,1,121,k,335210
Ad,3d,9h,8c,2h,6c,7s,6,2,64,k,359194
Js,Qd,6c,Qh,3h,3s,Ks,6,1,5,k,744300
Ac,Qs,6c,Qh,3h,3s,Ks,6,4,13,k,744301
Qc,Jh,3s,Qh,4h,6s,Ah,4,3,16,b,395412
Ac,3h,3s,Qh,4h,6s,Ah,4,4,8,c,744637
Ks,Qs,2s,8s,Th,Tc,8d,4,3,3,k,744027
As,3h,2s,8s,Th,Tc,8d,4,4,1,k,744028
4c,7s,6d,2c,Qs,Js,7h,4,2,89,k,384089
Jh,Kd,6d,2c,Qs,Js,7h,4,3,61,b,393060
4c,7s,6d,2c,Qs,Js,7h,4,2,89,c,384089
Qh,5c,8d,9s,Ah,Jc,9h,4,1,362,k,388839
Ks,7c,8d,9s,Ah,Jc,9h,4,2,757,k,388852
5d,Kc,8d,9s,Ah,Jc,9h,4,4,518,k,388852
As,9d,4h,Js,8c,6c,3h,4,3,215,k,363770
Kd,9s,4h,Js,8c,6c,3h,4,4,154,k,335209
9s,8s,3d,Ac,9d,7s,Qh,4,3,25,k,388836
9c,Jc,3d,Ac,9d,7s,Qh,4,4,18,k,388839
5c,5s,2h,Ac,9d,2s,7h,4,2,6,k,743105
Js,9s,2h,Ac,9d,2s,7h,4,3,5,k,743781
Ah,6d,7h,3h,9c,3s,Ad,3,2,211,k,744634
Jc,6c,7h,3h,9c,3s,Ad,3,3,342,k,375642
5d,5h,8h,9d,9h,6c,Th,3,1,50,k,743816
9c,7c,8h,9d,9h,6c,Th,3,2,18,k,1485180
Qd,Ts,4h,4d,6c,7h,Jd,3,2,2,b,377502
Ad,As,4h,4d,6c,7h,Jd,3,3,3,c,744649
Jh,Ad,Qh,Qc,Ah,5s,5c,5,4,42,b,744753
Td,Qs,Qh,Qc,Ah,5s,5c,5,5,15,r,2227891
Jh,Ad,Qh,Qc,Ah,5s,5c,5,4,42,c,744753
4h,Qd,9c,Qc,Jc,Qh,6d,5,2,384,k,1115693
8h,9h,9c,Qc,Jc,Qh,6d,5,3,147,k,744376
Qs,5h,9c,As,Tc,6d,5d,5,2,818,k,380050
6h,4h,9c,As,Tc,6d,5d,5,4,791,k,382220
3h,As,5h,7c,4s,2d,4d,5,1,30,k,1485175
Ah,7h,5h,7c,4s,2d,4d,5,5,25,k,743469
5s,5c,Jh,2c,Th,Tc,Kc,5,1,137,k,743988
8s,Ks,Jh,2c,Th,Tc,Kc,5,5,369,k,744558
Qc,Jc,Jd,6h,5c,Jh,2h,6,4,3,k,1115534
Qd,Js,Jd,6h,5c,Jh,2h,6,5,1,k,1115534
6s,4h,2c,6c,4s,7s,6d,6,2,0,b,2227812
2d,2h,2c,6c,4s,7s,6d,6,6,4,c,2227762
6s,4h,2c,6c,4s,7s,6d,6,2,0,A,2227812
4s,3s,2s,Js,6h,7c,Jd,6,2,114,k,391965
As,7d,2s,Js,6h,7c,Jd,6,5,125,k,744184
7s,7d,2s,7h,8s,Tc,4s,6,4,2,k,1114834
Jc,Jd,2s,7h,8s,Tc,4s,6,6,0,k,392501
4h,9h,Ac,7s,7d,Qd,8c,6,2,1034,k,384443
Th,Jh,Ac,7s,7d,Qd,8c,6,6,402,k,384445
6c,Kc,8s,Jd,5d,5c,6s,6,1,315,b,743312
8c,Tc,8s,Jd,5d,5c,6s,6,3,268,c,743648
Ks,As,Kc,Th,Td,5h,Jc,6,2,4,b,744561
Qh,Ah,Kc,Th,Td,5h,Jc,6,4,0,r,1485184
Ks,As,Kc,Th,Td,5h,Jc,6,2,4,c,744561
Jc,Kc,8h,Qc,4h,5c,Kh,3,1,3,k,397273
6h,6d,8h,Qc,4h,5c,Kh,3,3,0,k,382076
Qd,Ac,4s,Ah,5h,Js,9c,3,1,55,k,399471
9s,As,4s,Ah,5h,Js,9c,3,2,0,b,744714
Qd,Ac,4s,Ah,5h,Js,9c,3,1,55,c,399471
Kc,Jd,Qc,2c,7d,Jh,Qd,3,2,35,k,744404
Kd,Jc,Qc,2c,7d,Jh,Qd,3,3,100,k,744404
5s,Ac,5d,As,2d,5h,Jc,4,2,9,b,2227809
2c,2s,5d,As,2d,5h,Jc,4,3,12,r,2227761
5s,Ac,5d,As,2d,5h,Jc,4,2,9,r,2227809
2c,2s,5d,As,2d,5h,Jc,4,3,12,c,2227761
Td,9c,9h,Jd,Ac,Ad,8d,4,1,353,k,744714
5d,Jh,9h,Jd,Ac,Ad,8d,4,2,434,k,744738
7d,Td,Th,Jc,2h,Ac,Qc,4,2,362,k,391036
8s,8c,Th,Jc,2h,Ac,Qc,4,4,92,k,386642
4s,Qs,Js,As,7c,5d,Qh,3,1,188,k,395413
Jc,Ts,Js,As,7c,5d,Qh,3,2,130,k,393232
9c,Jd,6h,4h,Td,2h,As,3,1,821,k,363952
8d,5d,6h,4h,Td,2h,As,3,2,1033,k,361377
Qc,6c,Ks,7h,2c,4c,3h,3,2,1035,k,337040
6s,8s,Ks,7h,2c,4c,3h,3,3,703,k,328252
Js,Ad,Ah,Kd,As,Ac,Kh,3,2,5,k,2599218
Kc,9h,Ah,Kd,As,Ac,Kh,3,3,4,b,2227925
Js,Ad,Ah,Kd,As,Ac,Kh,3,2,5,r,2599218
Kc,9h,Ah,Kd,As,Ac,Kh,3,3,4,c,2227925
3d,As,2h,2d,4s,Jh,6c,3,2,18,k,373442
7s,6s,2h,2d,4s,Jh,6c,3,3,194,b,743271
3d,As,2h,2d,4s,Jh,6c,3,2,18,c,373442
Ac,5s,2d,Qd,Ah,5h,7s,3,2,7124,k,744663
6s,3s,2d,Qd,Ah,5h,7s,3,3,119,k,365602
9s,8h,Kh,6s,6c,8c,4c,3,1,15,k,743663
3h,Ks,Kh,6s,6c,8c,4c,3,3,45,k,744503
Jc,9c,7s,3d,9h,Kc,Ah,4,2,6,b,388852
9d,8d,7s,3d,9h,Kc,Ah,4,4,4,c,388849
Qs,5s,Js,8s,Ks,7c,4d,4,1,0,b,2194208
9c,Tc,Js,8s,Ks,7c,4d,4,4,2,c,1485181
2h,9h,5c,9d,2c,Tc,8h,4,1,1,b,743777
8d,7c,5c,9d,2c,Tc,8h,4,4,9,c,385923
5c,Tc,4c,Kh,6c,As,Ah,3,1,24,b,399624
6d,7d,4c,Kh,6c,As,Ah,3,2,5,c,744677
3h,3c,6s,8s,Qh,Ah,8h,3,1,21,k,743625
Jh,Tc,6s,8s,Qh,Ah,8h,3,3,90,k,386642
Ts,Ac,Tc,Kh,Th,6c,4c,3,2,3,b,1115398
Kd,Ad,Tc,Kh,Th,6c,4c,3,3,0,c,744561
Qs,Ts,Jc,9d,5d,8s,8h,3,2,17,k,1485182
Kh,Jh,Jc,9d,5d,8s,8h,3,3,12,b,744196
Qs,Ts,Jc,9d,5d,8s,8h,3,2,17,r,1485182
Kh,Jh,Jc,9d,5d,8s,8h,3,3,12,c,744196
Ts,Kc,Qh,Jd,Kh,6d,4s,4,1,5,b,397275
Jc,Qd,Qh,Jd,Kh,6d,4s,4,2,0,r,744404
Ts,Kc,Qh,Jd,Kh,6d,4s,4,1,5,c,397275
Jc,Qd,Qh,Jd,Kh,6d,4s,4,2,0,A,744404
Jc,Kh,2h,Qc,Th,9s,Kc,4,1,0,k,1485183
Js,Qh,2h,Qc,Th,9s,Kc,4,2,51,b,1485183
Jc,Kh,2h,Qc,Th,9s,Kc,4,1,0,r,1485183
Js,Qh,2h,Qc,Th,9s,Kc,4,2,51,c,1485183
2h,3d,Qh,5s,Qc,3s,8s,3,1,152,k,744295
7d,8c,Qh,5s,Qc,3s,8s,3,2,8311,k,744359
Th,4h,7d,2s,Ad,3h,5c,3,1,14,b,1485175
4c,Tc,7d,2s,Ad,3h,5c,3,2,2,r,1485175
Th,4h,7d,2s,Ad,3h,5c,3,1,14,r,1485175
4c,Tc,7d,2s,Ad,3h,5c,3,2,2,r,1485175
Th,4h,7d,2s,Ad,3h,5c,3,1,14,c,1485175
Ac,8s,Tc,Js,Kc,Qc,3s,3,2,363,b,1485184
Td,Qh,Tc,Js,Kc,Qc,3s,3,3,33,c,744391
7d,7h,Ks,8h,2s,2h,5h,3,1,51,b,743442
8s,Ts,Ks,8h,2s,2h,5h,3,2,4,c,743611
6c,Ts,6s,9d,Kd,3c,8h,3,1,53,k,382051
9h,Jd,6s,9d,Kd,3c,8h,3,2,3542,k,388654
9c,9d,9s,Qs,8c,3c,4s,3,2,120,b,1115198
Qc,Th,9s,Qs,8c,3c,4s,3,3,12,c,394712
Ah,Tc,9s,6h,As,8h,3s,3,2,72,k,399106
Ks,Td,9s,6h,As,8h,3s,3,3,23,k,368348
3s,As,Ad,6s,9h,8c,5d,3,1,20,k,398922
5c,8h,Ad,6s,9h,8c,5d,3,2,6,b,743651
3s,As,Ad,6s,9h,8c,5d,3,1,20,c,398922
Ah,Kd,Jc,Th,2c,4c,5c,3,2,11,k,368527
Js,Tc,Jc,Th,2c,4c,5c,3,3,357,k,2131623
Tc,Ah,8h,8s,7c,Kd,Ks,3,1,2728,k,744535
9c,Ad,8h,8s,7c,Kd,Ks,3,3,85,k,744535
Kh,9c,5c,6c,4d,8c,3s,2,1,767,k,330619
Jh,3c,5c,6c,4d,8c,3s,2,2,8184,k,375093
Tc,9s,2c,7h,Ks,8c,Qh,3,1,93,k,337590
Th,6h,2c,7h,Ks,8c,Qh,3,3,2723,k,337576
7c,Ad,As,6h,Qh,6d,3s,4,1,298,b,744676
3h,Kh,As,6h,Qh,6d,3s,4,3,27,c,743287
7c,Qs,Kd,7s,Qd,Jc,Kc,3,2,35,k,744584
4h,Kh,Kd,7s,Qd,Jc,Kc,3,3,8,b,1115877
7c,Qs,Kd,7s,Qd,Jc,Kc,3,2,35,c,744584
6h,5d,Ad,Jd,7h,9h,Kh,3,1,196,k,368516
5c,4c,Ad,Jd,7h,9h,Kh,3,2,7957,k,368516
Ah,7d,4c,6s,Jc,7h,Kc,2,1,10,k,384458
3s,Js,4c,6s,Jc,7h,Kc,2,2,46,k,392994
Qd,Ks,9s,Qc,6s,3c,8h,2,1,5,k,395219
4s,Ac,9s,Qc,6s,3c,8h,2,2,1,k,365967
9d,As,9h,Ts,8d,7d,Ac,2,1,1,b,744713
4s,6h,9h,Ts,8d,7d,Ac,2,2,17,c,1485180
Qs,4d,2d,4h,9c,4c,5s,2,1,2,b,1114354
4s,5d,2d,4h,9c,4c,5s,2,2,0,r,2227787
Qs,4d,2d,4h,9c,4c,5s,2,1,2,r,1114354
4s,5d,2d,4h,9c,4c,5s,2,2,0,c,2227787
4s,5d,2d,4h,9c,4c,5s,2,2,0,A,2227787
Qc,5h,2c,9c,5s,As,Qs,2,1,134,k,744327
Jc,2d,2c,9c,5s,As,Qs,2,2,30,k,373460
8c,3c,9c,4c,Ad,Tc,9d,3,1,9,b,2101373
Qc,Qs,9c,4c,Ad,Tc,9d,3,2,15,c,744379
2c,Js,Th,8h,3d,2h,Ts,3,1,621,k,743947
Ks,6c,Th,8h,3d,2h,Ts,3,2,146,k,390810
7s,Kh,Th,8h,3d,2h,Ts,3,3,401,k,390811
Js,Qh,Jd,5d,Kc,8c,Th,3,1,57,k,393063
6c,Ks,Jd,5d,Kc,8c,Th,3,2,88,k,397091
Qd,6d,5h,7s,4s,3d,3c,3,2,0,b,1485177
Kh,Ks,5h,7s,4s,3d,3c,3,3,2,c,744463
Ts,9s,Qs,7h,6h,4s,9d,3,1,8,k,388471
Qh,6c,Qs,7h,6h,4s,9d,3,2,11,b,744335
Ts,9s,Qs,7h,6h,4s,9d,3,1,8,c,388471
2s,9c,7h,5s,9h,2c,8s,3,1,50,k,743775
7s,Qc,7h,5s,9h,2c,8s,3,2,16,k,384065
4d,7d,7h,5s,9h,2c,8s,3,3,27,k,383542
Ts,Jc,Td,Kd,2c,9c,5h,3,1,13,k,390852
Ks,7h,Td,Kd,2c,9c,5h,3,2,26,k,396908
6s,2d,5s,Jh,Kh,7d,3d,3,1,642,k,334844
9s,Ah,5s,Jh,Kh,7d,3d,3,2,203,k,368516
4c,9c,5s,Jh,Kh,7d,3d,3,3,322,k,335195
6c,7d,4s,5d,2c,Qc,2d,3,1,42,k,373052
As,Jc,4s,5d,2c,Qc,2d,3,2,67,k,373460
Qd,Ah,8d,8c,2d,9c,8h,2,1,46,b,1115059
As,6s,8d,8c,2d,9c,8h,2,2,38,c,1115056
As,6d,5d,6h,7s,8h,4c,2,1,37,b,1485178
Th,Jd,5d,6h,7s,8h,4c,2,2,47,c,1485178
8h,Jd,5h,7h,5d,Ts,8d,2,1,135,k,743648
Qd,9d,5h,7h,5d,Ts,8d,2,2,110,k,379685
Ah,8h,As,4c,Th,6d,6h,2,1,15,b,744674
8d,Ad,As,4c,Th,6d,6h,2,2,12,c,744674
4h,Kd,7d,5s,Jd,3h,As,2,1,15,b,368488
Jh,6d,7d,5s,Jd,3h,As,2,2,12,c,393163
Kh,Jc,7d,9h,Qh,2c,3c,2,1,114,k,337758
4c,5d,7d,9h,Qh,2c,3c,2,2,131,b,301875
Kh,Jc,7d,9h,Qh,2c,3c,2,1,114,c,337758
8c,8d,4s,6s,6h,9s,6c,2,1,15,k,2227816
Jh,Qh,4s,6s,6h,9s,6c,2,2,13,k,1114694
4s,As,9c,9s,6h,6s,Ac,3,1,127,k,744709
Tc,4h,9c,9s,6h,6s,Ac,3,2,505,k,743833
Td,8c,9c,9s,6h,6s,Ac,3,3,663,k,743833
2h,Qc,Js,Qs,7h,8c,Ah,3,1,264,k,395414
8d,9c,Js,Qs,7h,8c,Ah,3,3,201,k,386642
Qh,Th,6c,Jc,4c,9s,2d,3,1,74,k,306830
Ts,Ah,6c,Jc,4c,9s,2d,3,2,288,k,363952
Qd,Jh,3d,Qs,5c,3s,4s,3,1,36,k,744298
5s,4d,3d,Qs,5c,3s,4s,3,3,27,k,743129
Ad,As,3c,Tc,Td,7d,5h,3,1,105,b,744723
5c,2s,3c,Tc,Td,7d,5h,3,2,139,c,743982
Qh,Qs,6c,As,5d,3d,3c,3,2,2,k,744301
9h,9d,6c,As,5d,3d,3c,3,3,9,k,743794
Td,Ac,Js,Ah,Qd,8s,4h,3,1,32,k,399472
Qc,9h,Js,Ah,Qd,8s,4h,3,3,23,k,395415
8s,9s,Qd,Jd,8h,Qh,4s,3,1,204,k,744363
9h,5c,Qd,Jd,8h,Qh,4s,3,2,625,k,394881
Ac,Kc,7h,3c,8c,9s,Kd,3,2,8,k,397585
9d,Qs,7h,3c,8c,9s,Kd,3,3,27,k,388667
Ac,7h,9c,Ks,Qc,Jd,As,2,1,50,k,399655
5d,Kd,9c,Ks,Qc,Jd,As,2,2,643,k,397627
Ah,4c,9s,Jd,9d,As,8s,2,1,99,k,744714
7h,Ad,9s,Jd,9d,As,8s,2,2,1251,k,744714
Ts,Qh,Qc,3s,Kh,Tc,7s,2,1,34,b,744391
As,7d,Qc,3s,Kh,Tc,7s,2,2,431,c,384459
Ad,2d,As,9c,4s,2c,Js,2,1,8,k,744623
5h,Ah,As,9c,4s,2c,Js,2,2,100,k,399272
9d,7c,Ah,Ac,4s,Jd,8d,2,1,678,k,399275
9s,2h,Ah,Ac,4s,Jd,8d,2,2,7874,k,399275
8d,Td,8c,Ad,4h,Qs,7h,2,1,111,k,386641
Qc,7s,8c,Ad,4h,Qs,7h,2,2,1238,b,744353
8d,Td,8c,Ad,4h,Qs,7h,2,1,111,c,386641
8d,Ks,Kc,Ts,Ac,Td,Jc,2,1,48,k,744561
Ad,2s,Kc,Ts,Ac,Td,Jc,2,2,4,k,744729
5d,9c,3c,8s,Th,4s,5s,2,1,769,k,379333
7d,3d,3c,8s,Th,4s,5s,2,2,7783,k,374925
Jh,Ah,5h,Jc,6c,Js,9d,2,1,0,b,1115563
7c,8h,5h,Jc,6c,Js,9d,2,2,5,r,1485179
Jh,Ah,5h,Jc,6c,Js,9d,2,1,0,c,1115563
7h,8h,Jc,2c,4c,Qc,Jd,2,1,3652,k,392839
Kh,3d,Jc,2c,4c,Qc,Jd,2,2,13,k,393057
9s,7d,7c,3c,Qs,6d,4d,2,1,13,k,384063
Ac,9d,7c,3c,Qs,6d,4d,2,2,3651,k,365954
Ks,Kd,8d,Kh,8c,Tc,3h,2,1,464,b,2227907
Ac,9h,8d,Kh,8c,Tc,3h,2,2,2,c,386654
4c,Ad,5d,8d,6h,8h,Js,2,1,30,k,386624
As,9d,5d,8d,6h,8h,Js,2,2,8522,k,386627
4d,Jc,Jh,Qd,Ad,Ks,Jd,2,1,6,b,1115567
9d,Kh,Jh,Qd,Ad,Ks,Jd,2,2,1344,c,744574
Tc,4h,9s,9d,6h,Ad,5h,2,1,51,k,388808
5s,2s,9s,9d,6h,Ad,5h,2,2,8500,k,743820
Kh,As,Tc,8s,Qc,8d,Jh,2,1,82,k,1485184
Jd,Ts,Tc,8s,Qc,8d,Jh,2,2,0,b,744221
Kh,As,Tc,8s,Qc,8d,Jh,2,1,82,c,1485184
Jd,Ts,Tc,8s,Qc,8d,Jh,2,2,0,A,744221
Jh,5c,4d,Qc,8h,Qh,Ad,2,1,100,k,395414
9s,5h,4d,Qc,8h,Qh,Ad,2,2,8552,k,395388
Ad,Kc,Qs,9h,2d,4c,9c,2,1,122,k,388853
7d,6c,Qs,9h,2d,4c,9c,2,2,52,k,388431
3c,9c,2s,Ks,5d,Kd,Kh,2,1,147,b,1115832
6d,9d,2s,Ks,5d,Kd,Kh,2,2,62,c,1115833
Ah,Qc,6s,Ac,Tc,5d,As,2,1,0,b,1116045
7s,Td,6s,Ac,Tc,5d,As,2,2,1,c,744723
Ah,Qc,6s,Ac,Tc,5d,As,2,1,0,A,1116045
